FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Louis King,Sac,214.63,F,22.11,6,14.2,29.6,20.5,9.8,6,100,1,23,56.5,0.565,11,36.4,0.364,55.9,0.559,60,0.6,7.3,3,11.7,1.5,15.4,1.17,0.5,0.67,9,120.5,106.1
Maxi Kleber,Dal,210.19,F,29.3,50,26.8,55.9,10.6,9.3,37,91.9,0.919,63,46,0.46,212,41,0.41,58,0.58,60.6,0.606,7.1,5.2,10.7,1.4,6.6,0.48,0.7,0.6,5.6,122.8,108.1
Nathan Knight,Atl,218.44,F-C,23.66,33,8.4,17.6,21.6,10.9,55,80,0.8,66,47,0.47,33,18.2,0.182,40.4,0.404,50.3,0.503,3.8,2.2,14.1,0.2,4,0.27,0.3,0.45,5.7,106,106.8
Kevin Knox II,Nyk,212.73,F,21.77,42,11.1,23,16.2,10.1,20,80,0.8,54,38.9,0.389,89,39.3,0.393,51.4,0.514,53.7,0.537,3.9,1.5,7.1,0.5,5.9,0.29,0.14,0.4,5.2,104.2,104.6
John Konchar,Mem,203.2,G,25.15,43,13.4,27.9,12.4,10.6,30,83.3,0.833,82,58.5,0.585,56,37.5,0.375,57.6,0.576,60.8,0.608,4.3,3,11.8,1.1,10.7,0.7,0.21,0.42,7.2,124.5,106.1
Furkan Korkmaz,Phi,208.28,G-F,23.81,55,19.3,40.2,20.5,9.1,82,73.2,0.732,155,44.5,0.445,269,37.5,0.375,52,0.52,54.4,0.544,9.1,2.1,5.9,1.5,11.1,0.89,0.16,0.84,6.3,107.7,106
Luke Kornet,Chi,218.44,F-C,25.84,13,7.2,15,13.8,3.4,4,50,0.5,4,75,0.75,23,26.1,0.261,44.4,0.444,45.2,0.452,2,1.2,9.5,0.3,5.5,0.15,0.54,0.08,5,98.9,115.3
Luke Kornet,Bos,218.44,F-C,25.84,18,14.1,29.4,13.7,7.4,2,50,0.5,38,68.4,0.684,36,25,0.25,53.4,0.534,53.4,0.534,4.4,2.9,11.4,1.1,10.9,0.11,1.39,0.33,6.8,116,109.5
Rodions Kurucs,Bro,218.44,F,23.28,5,3.2,6.6,8.3,0,0,0,0,1,0,0,2,50,0.5,50,0.5,50,0.5,0.6,0.6,10.5,0.4,15.3,0,0,0,6.6,,
Rodions Kurucs,Hou,218.44,F,23.28,11,6.8,14.2,17.5,29.1,2,50,0.5,6,50,0.5,15,13.3,0.133,28.6,0.286,29.7,0.297,1.2,1,7.8,0.4,7.1,0.55,0.36,0.82,4.6,53,106.3
Rodions Kurucs,Mil,218.44,F,23.28,5,6.7,14,16,31.1,2,100,1,4,50,0.5,4,75,0.75,81.3,0.813,84.5,0.845,3,1.8,14,0.8,15.2,0.6,0,0.8,9.7,126.1,85.1
Kyle Kuzma,Lal,214,F,25.81,68,28.7,59.9,20.3,12.4,97,69.1,0.691,377,52.5,0.525,380,36.1,0.361,53.3,0.533,54.6,0.546,12.9,6.1,12,1.9,9.8,0.5,0.6,1.66,7.4,104.8,104.3
Anthony Lamb,Hou,213.36,F,23.32,24,17.3,36,15,13,21,85.7,0.857,47,48.9,0.489,71,32.4,0.324,48.7,0.487,52.3,0.523,5.5,2.9,9,1,7.8,0.25,0.21,0.79,5.8,104.9,112.1
Jeremy Lamb,Ind,210.82,G-F,28.96,36,21.3,44.3,18.4,6.6,75,94.7,0.947,148,45.9,0.459,128,40.6,0.406,52.9,0.529,58.7,0.587,10.1,3.6,9.3,1.5,9.4,0.94,0.64,0.61,7.1,118.8,106.5
Romeo Langford,Bos,210.82,G-F,21.56,18,15.7,32.7,11.3,13.5,12,75,0.75,41,39,0.39,18,27.8,0.278,39.8,0.398,43.6,0.436,3.1,1.9,6.9,0.7,5.9,0.33,0.22,0.56,4.1,94.3,109.7
Zach LaVine,Chi,203.84,G-F,26.19,58,35.1,73,31.1,13.9,298,84.9,0.849,646,57.1,0.571,477,41.9,0.419,59.6,0.596,63.4,0.634,27.4,5,7.9,4.9,23.4,0.79,0.47,3.5,10,114.7,109.5
Jake Layman,Min,206.38,F,27.2,45,13.9,29,15.1,11.5,37,70.3,0.703,106,64.2,0.642,78,29.5,0.295,55.7,0.557,57.7,0.577,5.1,1.5,5.8,0.6,6.4,0.64,0.42,0.58,4.8,107,112.2
T.J. Leaf,Por,210.82,F,24.05,7,5.1,10.5,15.7,15.5,2,100,1,10,50,0.5,0,0,0,50,0.5,55.1,0.551,1.7,0.7,7.5,0.1,3.9,0.29,0.14,0.29,3.9,96.7,114.7
Jalen Lecque,Ind,204.47,G,20.92,4,3,6.3,36.3,0,3,100,1,8,12.5,0.125,1,0,0,11.1,0.111,24.2,0.242,1.3,1.3,22.4,0.5,20.4,0,0,0,12.6,,
Damion Lee,Gol,203.2,G-F,28.57,57,18.9,39.4,12.8,9.3,44,90.9,0.909,80,63.8,0.638,194,39.7,0.397,60.8,0.608,63.6,0.636,6.5,3.2,8.9,1.3,9.1,0.67,0.14,0.53,6.4,121.1,105.6
Saben Lee,Det,203.2,G,21.9,48,16.3,33.9,17,18.1,89,68.5,0.685,187,48.7,0.487,23,34.8,0.348,49,0.49,53.6,0.536,5.6,2,6.9,3.6,33.2,0.67,0.27,1.15,8.4,111.5,106
Alex Len,Tor,222.25,C,27.92,7,10.8,22.6,11.8,38.8,6,50,0.5,4,50,0.5,6,50,0.5,65,0.65,63.3,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.7,103.5
Alex Len,Was,222.25,C,27.92,57,15.8,33,16.7,12.9,110,63.6,0.636,249,64.7,0.647,19,26.3,0.263,62.9,0.629,64.3,0.643,7.1,4.4,14.6,0.8,7.2,0.33,1.02,0.82,7.4,121.2,102.1
Kawhi Leonard,Lac,220.98,F,29.88,52,34.1,71,28.6,9.2,295,88.5,0.885,654,55.7,0.557,254,39.8,0.398,56.8,0.568,62.2,0.622,24.8,6.5,10.7,5.2,24.9,1.56,0.4,2.02,11.1,125.4,108.1
Meyers Leonard,Mia,220.98,F-C,29.22,3,9.8,20.4,15.2,20.2,2,50,0.5,0,0,0,7,42.9,0.429,64.3,0.643,63.5,0.635,3.3,2.3,13.6,0.7,9.6,0,0,0.67,7.1,101.3,94.6
Caris LeVert,Bro,208.28,G,26.73,12,27.8,57.9,31.5,10.8,34,76.5,0.765,137,47.4,0.474,63,34.9,0.349,49,0.49,51.6,0.516,18.5,4.3,8.6,6,34.2,1.08,0.5,2.17,11.2,107.6,110.5
Caris LeVert,Ind,208.28,G,26.73,35,32.9,68.6,27.9,10.1,146,82.2,0.822,419,50.1,0.501,195,31.8,0.318,49.3,0.493,53.5,0.535,20.7,4.6,7.6,4.9,22.8,1.51,0.69,2.17,9.4,106.4,109.2
Kira Lewis Jr.,Nor,198.12,G,20.11,54,16.7,34.9,18.3,8.6,51,84.3,0.843,217,41.5,0.415,120,33.3,0.333,44.5,0.445,47.7,0.477,6.4,1.3,4.3,2.3,18.7,0.7,0.19,0.63,6.4,105.1,107.3
Damian Lillard,Por,202.57,G,30.84,67,35.8,74.6,31.4,11.6,482,92.7,0.927,630,51.9,0.519,704,39.1,0.391,55.4,0.554,62.3,0.623,28.7,4.2,6.3,7.5,34.6,0.93,0.25,3.03,10.8,124.8,116.1
Nassir Little,Por,216.54,F-G,21.26,48,13.3,27.8,13.8,8.8,45,80,0.8,87,57.5,0.575,80,35,0.35,55.1,0.551,58.9,0.589,4.6,2.7,10.7,0.5,4.9,0.1,0.27,0.38,5.5,120.1,111.9
Kevon Looney,Gol,222.25,F,25.27,61,19,39.6,9.4,14.5,48,64.6,0.646,180,57.8,0.578,17,23.5,0.235,55.8,0.558,57.5,0.575,4.1,5.3,14.7,1.9,13.3,0.36,0.36,0.61,7.3,129.7,101.9
Brook Lopez,Mil,226.06,C,33.12,70,27.2,56.6,16.9,8.3,142,84.5,0.845,359,63.2,0.632,281,33.8,0.338,57.7,0.577,61.1,0.611,12.3,5,9.6,0.7,3.5,0.57,1.47,0.91,5.2,120.2,107.6
Robin Lopez,Was,227.33,C,33.12,71,19.1,39.7,17.1,13.4,137,72.3,0.723,406,65,0.65,18,27.8,0.278,64,0.64,66.3,0.663,9,3.8,10.6,0.8,5.9,0.21,0.62,1.06,6.3,123.7,110.2
Marcos Louzada Silva,Nor,200.66,G,20,3,18.8,39.1,11.9,18.8,0,0,0,5,20,0.2,8,25,0.25,30.8,0.308,30.8,0.308,2.7,1,2.9,1,6.5,0.67,0,1,3,65.8,109.3
Kevin Love,Cle,211.46,F-C,32.69,25,24.9,51.9,21.9,12.2,51,82.4,0.824,96,47.9,0.479,156,36.5,0.365,52.2,0.522,55.6,0.556,12.2,7.4,16.7,2.5,16,0.64,0.08,1.52,9.8,107.4,110.2
Kyle Lowry,Tor,187.96,G,35.15,46,34.8,72.5,21.4,15.9,160,87.5,0.875,265,48.7,0.487,331,39.6,0.396,54.6,0.546,59.3,0.593,17.2,5.3,8.4,7.3,31.8,1.02,0.26,2.74,10,116.9,108
Timothe Luwawu-Cabarrot,Bro,213.36,G-F,26.02,58,18.1,37.7,17.4,10.3,43,81.4,0.814,117,47,0.47,239,31.4,0.314,47.1,0.471,49.3,0.493,6.4,2.2,6.8,1.2,8.5,0.57,0.1,0.74,5.7,99.7,108
Trey Lyles,San,217.17,F,25.53,23,15.6,32.4,12.9,5.7,23,65.2,0.652,50,58,0.58,40,35,0.35,55.6,0.556,57.4,0.574,5,3.7,12.8,0.6,5.3,0.26,0.04,0.26,5.7,115.5,111.2
Will Magnay,Nor,210.82,C,22.93,1,3.3,6.9,25.5,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Thon Maker,Cle,220.98,F-C,20,8,9.6,19.9,14.7,11.6,11,90.9,0.909,16,62.5,0.625,2,0,0,55.6,0.556,65.7,0.657,3.8,2.3,13.1,0.5,7.8,0.25,0.5,0.38,6.8,132.1,108.4
Theo Maledon,Okc,205.11,G,19.93,65,27.3,57,19.4,17.3,135,74.8,0.748,301,40.2,0.402,313,33.5,0.335,45.4,0.454,48.9,0.489,10.1,3.2,6.2,3.5,18.8,0.85,0.17,2.17,7.1,94,110.7
Karim Mane,Orl,203.2,G,21,10,8.8,18.4,8.9,16.5,5,80,0.8,11,18.2,0.182,2,50,0.5,26.9,0.269,36.2,0.362,1.1,1.4,8.2,0.4,6,0,0.2,0.3,3.9,76.6,106.8
Nico Mannion,Gol,193.04,G,20.18,30,12.1,25.3,18.5,20.3,28,82.1,0.821,53,32.1,0.321,60,36.7,0.367,44.2,0.442,49.1,0.491,4.1,1.5,6.7,2.3,25.6,0.53,0.03,1.07,8,98.2,106.5
Terance Mann,Lac,202.57,G-F,24.58,67,18.9,39.3,15.1,9.3,94,83,0.83,259,54.1,0.541,91,41.8,0.418,56.3,0.563,60.3,0.603,7,3.6,10.8,1.6,11.3,0.45,0.19,0.6,7.3,124.6,103.8
Boban Marjanovic,Dal,238.76,C,32.75,33,8.2,17.1,24.6,8,38,81.6,0.816,114,53.5,0.535,8,12.5,0.125,51.2,0.512,56.2,0.562,4.7,3.9,26,0.3,5.9,0.06,0.18,0.36,8.6,120.7,101.5
Lauri Markkanen,Chi,185.42,F-C,23.99,51,25.8,53.8,20.2,8.5,92,82.6,0.826,224,58.5,0.585,296,40.2,0.402,59.5,0.595,62,0.62,13.6,5.3,11.3,0.9,5,0.51,0.29,1.02,6.2,115.3,109.7
Naji Marshall,Nor,215.27,F,23.31,32,21.9,45.6,16.8,13.6,75,70.7,0.707,126,42.1,0.421,83,34.9,0.349,46.2,0.462,50.8,0.508,7.7,4.6,11.5,2.8,16.5,0.81,0.31,1.19,8.5,105.2,106.2
Kenyon Martin Jr.,Hou,213.36,F,20.36,45,23.7,49.4,15.7,9.7,84,71.4,0.714,222,57.2,0.572,96,36.5,0.365,56.4,0.564,59,0.59,9.3,5.4,12.1,1.1,6.8,0.67,0.91,0.84,6.4,116.7,109.6
Caleb Martin,Cha,208.92,F,25.63,53,15.4,32.2,16.7,10.4,64,64.1,0.641,131,49.6,0.496,125,24.8,0.248,43.6,0.436,46.5,0.465,5,2.7,9.3,1.3,11.5,0.7,0.23,0.62,6.7,98.6,107.6
Cody Martin,Cha,208.92,F,25.63,52,16.3,34,12.5,16.2,43,58.1,0.581,130,51.5,0.515,58,27.6,0.276,48.4,0.484,50,0.5,4,3.1,10.3,1.7,13.9,0.73,0.23,0.77,6.8,106,109.4
Jeremiah Martin,Cle,190.5,G,24.91,9,8.4,17.4,23.9,14.6,5,20,0.2,21,28.6,0.286,12,25,0.25,31.8,0.318,31.3,0.313,2.4,0.8,5.2,0.4,7.9,0.56,0.22,0.67,4.4,62.8,116.3
Kelan Martin,Ind,220.98,F,25.79,35,9.2,19.2,20.9,10.1,10,90,0.9,78,48.7,0.487,60,40,0.4,53.6,0.536,55.1,0.551,4.5,2.2,13.1,0.5,7.5,0.29,0.29,0.46,7.4,105.2,104.3
Frank Mason,Orl,190.5,G,27.12,4,19.8,41.3,17.5,15.6,7,71.4,0.714,19,36.8,0.368,5,40,0.4,41.7,0.417,46.2,0.462,6.3,3,7.8,3,22.2,0,0,1.25,7.8,98.1,110.5
Garrison Mathews,Was,198.12,G,24.56,64,16.2,33.8,11.5,3.5,95,88.4,0.884,39,53.8,0.538,198,38.4,0.384,57,0.57,63.5,0.635,5.5,1.4,4.4,0.4,3.1,0.45,0.11,0.16,3.6,129.4,107.7
Dakota Mathias,Phi,198.12,G,25.85,8,15.4,32.2,18,1.9,6,33.3,0.333,22,50,0.5,26,30.8,0.308,47.9,0.479,47.4,0.474,6,0.9,3.1,1.6,15,0.13,0.38,0.13,5.3,106.9,109.8
Wesley Matthews,Lal,208.28,G,34.59,58,19.5,40.6,11.4,8.8,41,85.4,0.854,55,41.8,0.418,197,33.5,0.335,48.4,0.484,51.7,0.517,4.8,1.6,4.7,0.9,6.3,0.64,0.28,0.45,3.9,105.9,104.7
Tyrese Maxey,Phi,200.66,G,20.53,61,15.3,32,23,8.2,70,87.1,0.871,326,51.2,0.512,103,30.1,0.301,49.8,0.498,53.1,0.531,8,1.7,6.1,2,19.9,0.43,0.21,0.67,7.9,109.6,104.3
Skylar Mays,Atl,198.12,G,23.7,33,8.2,17,19.1,7.6,25,88,0.88,58,51.7,0.517,40,35,0.35,52,0.52,56.9,0.569,3.8,1.1,7.1,0.9,16.4,0.42,0.06,0.27,7.6,120.8,110
Patrick McCaw,Tor,203.2,G,25.56,5,6.7,13.9,3,0,3,100,1,1,100,1,0,0,0,100,1,107.8,1.078,1,0.6,4.9,0.8,15,0.4,0,0,4.7,231.8,97.9
CJ McCollum,Por,198.76,G,29.66,47,34,70.9,27.1,6.4,133,81.2,0.812,464,50.9,0.509,420,40.2,0.402,55.4,0.554,57.7,0.577,23.1,3.9,6.2,4.7,23,0.94,0.45,1.36,8.8,120,114.9
T.J. McConnell,Ind,187.96,G,29.14,69,26,54.2,15.3,20.9,48,68.8,0.688,442,58.6,0.586,48,31.3,0.313,57.4,0.574,58.3,0.583,8.6,3.7,7.7,6.6,34.3,1.86,0.33,1.96,9.1,116.9,109.2
Jalen McDaniels,Cha,214,F-C,23.29,47,19.2,40.1,17,12.6,64,70.3,0.703,179,54.7,0.547,105,33.3,0.333,53,0.53,55.4,0.554,7.4,3.6,10.1,1.1,8.6,0.6,0.4,0.96,6.4,106.5,105
Jaden McDaniels,Min,210.82,F,20.63,63,24,50,12,10.8,45,60,0.6,169,54.4,0.544,198,36.4,0.364,54.5,0.545,55.2,0.552,6.8,3.7,8.3,1.1,6.4,0.56,0.95,0.75,5,107.7,108
Doug McDermott,Ind,206.38,F,29.37,66,24.5,51.1,20,7,98,81.6,0.816,379,64.1,0.641,286,38.8,0.388,61.6,0.616,63.5,0.635,13.6,3.3,7.4,1.3,7.8,0.3,0.09,0.8,6.3,120.8,111.9
Sean McDermott,Mem,203.2,F,24.53,18,8.8,18.3,10.9,9.9,8,100,1,11,72.7,0.727,22,22.7,0.227,47,0.47,53.4,0.534,2.2,1.1,6.4,0.2,3.2,0.11,0.17,0.22,3.6,108.9,112.8
JaVale McGee,Cle,228.6,C-F,33.32,33,15.2,31.8,24.6,15.8,55,65.5,0.655,195,54.9,0.549,20,25,0.25,53.3,0.533,55.4,0.554,8,5.2,18.9,1,11.4,0.48,1.21,1.36,9.1,102.8,97.8
JaVale McGee,Den,228.6,C-F,33.32,13,13.5,28.1,21.7,17.2,12,66.7,0.667,63,50.8,0.508,4,0,0,47.8,0.478,49.8,0.498,5.5,5.3,22.3,0.5,4.8,0.23,1.08,1.15,7.2,97.3,87.2
Rodney McGruder,Det,195.58,G,29.8,16,12.1,25.2,18.2,8.7,8,75,0.75,46,56.5,0.565,24,45.8,0.458,60.7,0.607,61.9,0.619,5.7,1.4,6.3,1,13.6,0.5,0.06,0.44,6.6,120.1,110.6
Alfonzo McKinnie,Lal,215.9,F,28.66,39,6.6,13.8,17.9,4.7,18,55.6,0.556,54,59.3,0.593,39,41,0.41,60.2,0.602,60.4,0.604,3.1,1.4,11.7,0.2,3.6,0.18,0,0.13,5.8,122.4,100.4
Jordan McLaughlin,Min,194.31,G,25.1,51,18.4,38.3,13.7,16.7,30,76.7,0.767,150,44.7,0.447,92,35.9,0.359,48.1,0.481,50.2,0.502,5,2.1,6.2,3.8,28,1,0.12,1,7.4,110,114.1
Ben McLemore,Hou,202.57,G,28.26,32,16.8,35,21.1,10.5,32,71.9,0.719,58,43.1,0.431,166,33.1,0.331,48,0.48,50,0.5,7.4,2.1,6.6,0.9,7.8,0.63,0.09,0.88,5.7,94.8,109.3
Ben McLemore,Lal,202.57,G,28.26,21,17.5,36.5,19.5,9.1,21,76.2,0.762,27,48.1,0.481,114,36.8,0.368,53.9,0.539,55.9,0.559,8,1.6,5.2,0.5,4.3,0.14,0.29,0.71,4.2,104,102.7
Nicolo Melli,Nor,212.09,F,30.3,22,11,22.9,12,10.1,7,85.7,0.857,22,36.4,0.364,37,18.9,0.189,31.4,0.314,34.6,0.346,2,2.6,12.8,1.1,12.7,0.41,0.05,0.32,6.5,92,102.7
Nicolo Melli,Dal,212.09,F,30.3,23,14.1,29.4,12.9,5.3,18,72.2,0.722,34,44.1,0.441,48,33.3,0.333,47.6,0.476,50.6,0.506,4,2.8,11,0.8,7.7,0.26,0.13,0.22,5.9,114.9,106.8
De'Anthony Melton,Mem,204.47,G,22.97,52,20.1,41.9,19.5,13.7,51,80.4,0.804,182,46.7,0.467,211,41.2,0.412,54.8,0.548,56.8,0.568,9.1,3.1,8.2,2.5,17.5,1.13,0.6,1.27,8.2,109.2,105.5
Sam Merrill,Mil,198.12,G,25,30,7.8,16.2,15.1,11.9,4,100,1,25,44,0.44,47,44.7,0.447,59,0.59,60.3,0.603,3,1,6.8,0.7,11.4,0.27,0.03,0.33,6.6,117.5,108
Chimezie Metu,Sac,214.63,F-C,24.15,36,13.6,28.2,20,12.8,43,72.1,0.721,142,54.9,0.549,37,35.1,0.351,54.5,0.545,57.1,0.571,6.3,3.1,12.8,0.8,8.2,0.39,0.53,0.81,7.4,108.6,107.2
Khris Middleton,Mil,210.19,F,29.76,68,33.4,69.5,25,13.1,236,89.8,0.898,709,50.8,0.508,365,41.4,0.414,54.6,0.546,58.8,0.588,20.4,6,9.4,5.4,23.2,1.09,0.15,2.6,10.4,115.5,107.1
Darius Miller,Okc,205.74,F,31.16,18,10.9,22.8,13.2,13.1,12,100,1,6,83.3,0.833,42,40.5,0.405,63.5,0.635,68.5,0.685,4.1,1.3,6.3,1.2,15.4,0.67,0.28,0.44,6.8,129.6,109.1
Paul Millsap,Den,215.9,F,36.26,56,20.8,43.2,18.6,10.3,98,72.4,0.724,258,55,0.55,143,34.3,0.343,53.7,0.537,56.5,0.565,9,4.7,12.7,1.8,11.6,0.91,0.64,0.91,8.2,116,104.2
Patty Mills,San,187.96,G,32.76,68,24.8,51.6,18.4,9.1,78,91,0.91,182,50,0.5,430,37.4,0.374,54.3,0.543,56.9,0.569,10.8,1.7,3.7,2.4,13.5,0.6,0.04,0.96,5.7,110.7,113.7
Shake Milton,Phi,215.27,G-F,24.64,63,23.2,48.3,25,12.2,176,83,0.83,464,49.4,0.494,203,35,0.35,50.3,0.503,54.9,0.549,13,2.3,5.6,3.1,20.3,0.62,0.29,1.63,7.8,108.4,104.4
Donovan Mitchell,Uta,208.28,G,24.69,53,33.4,69.6,33.5,10.7,316,84.5,0.845,630,47.6,0.476,461,38.6,0.386,52,0.52,56.9,0.569,26.4,4.4,7,5.2,26.7,0.98,0.28,2.77,10.1,114.8,105.4
Adam Mokoka,Chi,208.28,G,22.83,14,4,8.4,18.9,20.5,1,0,0,9,66.7,0.667,10,10,0.1,39.5,0.395,38.6,0.386,1.1,0.4,4.9,0.4,11.9,0.14,0.07,0.36,5.6,72.9,107.5
Malik Monk,Cha,195.58,G,23.28,42,20.9,43.6,23.8,11.3,72,81.9,0.819,187,47.1,0.471,212,40.1,0.401,54,0.54,56.9,0.569,11.7,2.4,6.2,2.1,15.7,0.45,0.1,1.31,7.4,107.6,112.5
E'Twaun Moore,Pho,207.01,G,32.22,27,14.4,30,17.2,15.3,14,85.7,0.857,86,51.2,0.512,35,31.4,0.314,50,0.5,52.3,0.523,4.9,1.7,6.6,1.5,13.7,0.56,0.19,0.85,6.4,102.9,107
Ja Morant,Mem,198.12,G,21.77,63,32.6,67.9,27.2,15.3,372,72.8,0.728,716,49.9,0.499,241,30.3,0.303,48.7,0.487,53.7,0.537,19.1,4,6.5,7.4,33.5,0.9,0.21,3.22,10.1,107.6,112.5
Juwan Morgan,Uta,210.82,F,24.08,29,5.1,10.6,10.9,10.8,7,42.9,0.429,17,58.8,0.588,13,30.8,0.308,53.3,0.533,52.9,0.529,1.2,1,10.1,0.3,8,0.14,0.03,0.14,5.6,115.6,96.6
Marcus Morris Sr.,Lac,208.28,F,31.7,57,26.3,54.9,20.1,8.4,89,82,0.82,288,47.2,0.472,296,47.3,0.473,59.2,0.592,61.4,0.614,13.4,4.1,8.8,1,5.6,0.6,0.26,1,5.8,116.4,106.8
Markieff Morris,Lal,210.19,F,31.7,61,19.7,41,16.5,11.9,50,72,0.72,169,52.1,0.521,209,31.1,0.311,49.1,0.491,50.9,0.509,6.7,4.4,12.4,1.2,8.6,0.36,0.31,0.89,6.7,100.8,101
Monte Morris,Den,193.04,G,25.89,47,25.5,53,16.5,7.5,73,79.5,0.795,253,53.4,0.534,134,38.1,0.381,54.7,0.547,57.4,0.574,10.2,2,4.6,3.2,17.1,0.72,0.28,0.72,6.3,120.9,114.1
Mychal Mulder,Gol,200.66,G,26.93,60,12.8,26.6,16.2,5.5,22,63.6,0.636,51,66.7,0.667,214,39.7,0.397,60.9,0.609,61.3,0.613,5.6,1,4.2,0.4,4.8,0.2,0.2,0.27,4.1,112.9,110.1
Dejounte Murray,San,208.28,G,24.66,67,31.9,66.5,23.4,10.2,134,79.1,0.791,775,48.8,0.488,199,31.7,0.317,48.5,0.485,50.9,0.509,15.7,7.1,11.8,5.4,25.9,1.51,0.1,1.75,10.6,105.5,107
Jamal Murray,Den,199.39,G,24.23,48,35.5,73.9,24.7,11.1,153,86.9,0.869,476,52.3,0.523,316,40.8,0.408,55.9,0.559,59.2,0.592,21.2,4,6.5,4.8,20.3,1.33,0.27,2.23,8.4,116.2,111.1
Mike Muscala,Okc,215.9,F-C,29.88,35,18.4,38.4,20,6.9,36,91.7,0.917,83,61.4,0.614,184,37,0.37,57.3,0.573,59.9,0.599,9.7,3.8,10.6,0.8,7,0.23,0.31,0.6,6.7,115.6,108.6
Svi Mykhailiuk,Det,195.58,G-F,23.93,36,17.6,36.7,19,14.2,30,80,0.8,52,51.9,0.519,171,33.3,0.333,50.4,0.504,52.7,0.527,6.9,2.1,6.5,1.6,13.5,0.75,0.17,1.08,6.5,99.4,110.9
Svi Mykhailiuk,Okc,195.58,G-F,23.93,30,23,47.9,21,14.4,20,70,0.7,140,54.3,0.543,143,33.6,0.336,52.3,0.523,53.1,0.531,10.3,3,6.7,1.8,12.3,0.8,0.2,1.63,6.6,96.6,113.3
Abdel Nader,Pho,215.9,F,27.64,24,14.8,30.8,19,12.6,37,75.7,0.757,73,53.4,0.534,43,41.9,0.419,56.9,0.569,60.5,0.605,6.7,2.6,9.9,0.8,7.3,0.42,0.38,0.79,6.5,110.4,104.1
Larry Nance Jr.,Cle,217.17,F-C,28.37,35,31.2,65,13.9,15.8,49,61.2,0.612,158,55.1,0.551,114,36,0.36,54.6,0.546,55.7,0.557,9.3,6.7,12,3.1,14.4,1.74,0.49,1.57,7.4,108.8,108.5
Aaron Nesmith,Bos,208.28,G-F,21.58,46,14.5,30.3,13.7,10.8,28,78.6,0.786,70,54.3,0.543,108,37,0.37,55.1,0.551,57.3,0.573,4.7,2.8,10.6,0.5,4.6,0.33,0.2,0.5,5.2,112.3,102.6
Raul Neto,Was,187.96,G,28.99,64,21.9,45.7,15.9,9.9,85,88.2,0.882,283,51.2,0.512,164,39,0.39,53.9,0.539,57.5,0.575,8.7,2.4,5.9,2.3,14,1.14,0.09,0.83,6.6,114.7,108.2
Georges Niang,Uta,208.28,F,27.92,72,16,33.4,17.4,10.9,23,95.7,0.957,113,46.9,0.469,292,42.5,0.425,59,0.59,60.2,0.602,6.9,2.4,8.1,0.8,7.3,0.36,0.1,0.71,5.9,113.7,101.5
Zeke Nnaji,Den,218.44,F-C,20.35,41,9.5,19.8,12.8,6.1,15,80,0.8,44,59.1,0.591,57,42.1,0.421,61.4,0.614,63.2,0.632,3.3,1.6,9.3,0.2,3,0.17,0.1,0.17,4.3,125,109.9
Nerlens Noel,Nyk,222.89,C-F,27.1,64,24.2,50.3,9.2,20.3,70,71.4,0.714,221,62,0.62,3,0,0,61.2,0.612,63.6,0.636,5.1,6.4,14.3,0.7,4.1,1.09,2.2,1.02,4.7,120.3,97.3
Jaylen Nowell,Min,201.3,G,21.86,42,18.1,37.6,21.4,7.2,55,81.8,0.818,185,49.7,0.497,150,33.3,0.333,49.9,0.499,52.8,0.528,9,2.3,6.8,1.5,12.5,0.52,0.29,0.67,6.9,106.8,110.3
Frank Ntilikina,Nyk,215.9,G,22.8,33,9.8,20.3,13.6,11.2,18,44.4,0.444,31,19.4,0.194,48,47.9,0.479,51.3,0.513,51.2,0.512,2.7,0.9,5.2,0.6,8.2,0.55,0.12,0.33,4.6,101.8,96.7
James Nunnally,Nor,215.9,F,30.84,9,5.3,11.1,14,12.6,2,50,0.5,1,100,1,12,33.3,0.333,53.8,0.538,54,0.54,1.7,1,10.2,0.3,8.1,0,0,0.22,6,107,116.3
Kendrick Nunn,Mia,195.58,G,25.79,56,29.5,61.4,20.9,10.5,60,93.3,0.933,338,58.3,0.583,320,38.1,0.381,57.8,0.578,59.6,0.596,14.6,3.2,6.2,2.6,14.5,0.96,0.25,1.43,6.7,110.6,108.5
Jusuf Nurkic,Por,218.44,C,26.73,37,23.8,49.6,22.3,16,113,61.9,0.619,303,52.5,0.525,30,40,0.4,53.2,0.532,55.4,0.554,11.5,9,20.2,3.4,21.4,1.03,1.08,1.97,11.9,112.7,101.8
David Nwaba,Hou,213.36,G-F,28.34,30,22.6,47.1,16.5,6.4,68,69.1,0.691,154,57.8,0.578,63,27,0.27,52.8,0.528,55.9,0.559,9.2,3.9,9.3,1,6.9,1,0.7,0.57,5.8,115.1,109.2
