FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Josh Hart,Nor,204.47,G,26.2,47,28.7,59.8,13.5,11.8,89,77.5,0.775,150,58.7,0.587,193,32.6,0.326,53.2,0.532,56.8,0.568,9.2,8,15.2,2.3,10.5,0.81,0.26,1.09,7.7,115.2,105.7
Udonis Haslem,Mia,210.82,F,40.94,1,2.7,5.6,33.4,0,0,0,0,2,100,1,0,0,0,100,1,100,1,4,1,21.2,0,0,0,0,0,0,,
Jaxson Hayes,Nor,222.25,C-F,20.98,60,16.1,33.5,16.2,10.5,120,77.5,0.775,266,63.5,0.635,14,42.9,0.429,63.6,0.636,67.5,0.675,7.5,4.3,14.5,0.6,5.2,0.42,0.63,0.65,6.7,130.6,105
Killian Hayes,Det,203.2,G,19.81,26,25.8,53.7,19,28.5,17,82.4,0.824,129,39.5,0.395,72,27.8,0.278,40.3,0.403,42.2,0.422,6.8,2.7,5.7,5.3,29.7,1.04,0.38,3.19,7.1,81.5,107.5
Gordon Hayward,Cha,202.57,F,31.15,44,34,70.8,23.9,11,185,84.3,0.843,453,49.9,0.499,205,41.5,0.415,53.7,0.537,58.4,0.584,19.6,5.9,9.3,4.1,19.5,1.18,0.32,2.07,9.2,113.9,110.7
Juancho Hernangomez,Min,213.36,F,25.63,52,17.3,36.1,17.2,7.3,97,61.9,0.619,131,57.3,0.573,168,32.7,0.327,52.7,0.527,54.9,0.549,7.2,3.9,12.3,0.7,5.6,0.37,0.13,0.52,6.2,110.4,112.7
Willy Hernangomez,Nor,215.9,C-F,26.97,47,18,37.5,17,9.9,93,66.7,0.667,258,58.1,0.581,10,10,0.1,56.5,0.565,59.1,0.591,7.8,7.1,21.4,1.1,8.4,0.47,0.49,0.72,8.7,123.4,105.6
Tyler Herro,Mia,191.14,G,21.32,54,30.3,63.1,23.5,11.9,117,80.3,0.803,402,49.8,0.498,297,36,0.36,51.6,0.516,54.3,0.543,15.1,4.9,9.3,3.4,18,0.65,0.31,1.87,8.3,103.6,110.3
Buddy Hield,Sac,206.38,G,28.41,71,34.3,71.4,20.7,11.1,104,84.6,0.846,271,44.6,0.446,721,39.1,0.391,54.8,0.548,56.7,0.567,16.6,4.7,7.6,3.6,14.7,0.89,0.42,1.83,7.6,108.5,113.9
George Hill,Okc,205.74,G,35.04,14,26.3,54.9,16.5,8.4,25,84,0.84,63,61.9,0.619,57,38.6,0.386,60,0.6,63,0.63,11.8,2.1,4.1,3.1,18.2,0.86,0.14,0.86,6.5,126.6,116
George Hill,Phi,205.74,G,35.04,16,18.9,39.5,15.2,17.8,25,76,0.76,54,46.3,0.463,23,39.1,0.391,50,0.5,54.5,0.545,6,2,5.8,1.9,13.3,0.69,0.19,1.19,6,104.4,106.6
